date,name,forest_area,total_area,forest_cover_rate_percentage
2003/1/1,Johor,356922,1916600,18.62266514
2003/1/1,Kedah,344530,950000,36.26631579
2003/1/1,Kelantan,629687,1504000,41.8674867
2003/1/1,Melaka,5468,8000,68.35
2003/1/1,Negeri Sembilan,165639,665647,24.88390994
2003/1/1,Pahang,1524132,3596500,42.37820103
2003/1/1,Perak,884205,21000000,4.2105
2003/1/1,Perlis,10718,81931,13.08173951
2003/1/1,Pulau Pinang,5139,29500,17.42033898
2003/1/1,Sabah,3563186,7363100,48.39247056
2003/1/1,Sarawak,4836800,12400000,39.00645161
2003/1/1,Selangor,233781,800000,29.222625
2003/1/1,Terengganu,535929,1303500,41.115
2003/1/1,W.P. Kuala Lumpur,61,24300,0.251028807
2003/1/1,W.P. Labuan,0,9100,0
2003/1/1,W.P. Putrajaya,0,4900,0
2004/1/1,Johor,355772,1916600,18.56266305
2004/1/1,Kedah,342613,950000,36.06452632
2004/1/1,Kelantan,629367,1504000,41.84621011
2004/1/1,Melaka,5185,8000,64.8125
2004/1/1,Negeri Sembilan,162075,665647,24.34849102
2004/1/1,Pahang,1524132,3596500,42.37820103
2004/1/1,Perak,884205,21000000,4.2105
2004/1/1,Perlis,10718,81931,13.08173951
2004/1/1,Pulau Pinang,5434,29500,18.42033898
2004/1/1,Sabah,3543186,7363100,48.12084584
2004/1/1,Sarawak,4806300,12400000,38.76048387
2004/1/1,Selangor,233781,800000,29.222625
2004/1/1,Terengganu,530162,1303500,40.672
2004/1/1,W.P. Kuala Lumpur,61,24300,0.251028807
2004/1/1,W.P. Labuan,0,9100,0
2004/1/1,W.P. Putrajaya,0,4900,0
2005/1/1,Johor,375864,1916600,19.61097777
2005/1/1,Kedah,342613,950000,36.06452632
2005/1/1,Kelantan,629687,1504000,41.8674867
2005/1/1,Melaka,5185,8000,64.8125
2005/1/1,Negeri Sembilan,160151,665647,24.05944893
2005/1/1,Pahang,1519501,3596500,42.24943695
2005/1/1,Perak,884205,21000000,4.2105
2005/1/1,Perlis,10718,81931,13.08173951
2005/1/1,Pulau Pinang,5434,29500,18.42033898
2005/1/1,Sabah,3523186,7363100,47.84922112
2005/1/1,Sarawak,4779900,12400000,38.54758065
2005/1/1,Selangor,239782,800000,29.97275
2005/1/1,Terengganu,538063,1303500,41.278
2005/1/1,W.P. Kuala Lumpur,61,24300,0.251028807
2005/1/1,W.P. Labuan,0,9100,0
2005/1/1,W.P. Putrajaya,0,4900,0
2006/1/1,Johor,391499,1916600,20.42674528
2006/1/1,Kedah,342613,950000,36.06452632
2006/1/1,Kelantan,629687,1504000,41.8674867
2006/1/1,Melaka,5159,8000,64.4875
2006/1/1,Negeri Sembilan,156275,665647,23.47715831
2006/1/1,Pahang,1519501,3596500,42.24943695
2006/1/1,Perak,884205,21000000,4.2105
2006/1/1,Perlis,10718,81931,13.08173951
2006/1/1,Pulau Pinang,5434,29500,18.42033898
2006/1/1,Sabah,3503186,7363100,47.57759639
2006/1/1,Sarawak,4778300,12400000,38.53467742
2006/1/1,Selangor,235212,800000,29.4015
2006/1/1,Terengganu,545818,1303500,41.873
2006/1/1,W.P. Kuala Lumpur,61,24300,0.251028807
2006/1/1,W.P. Labuan,0,9100,0
2006/1/1,W.P. Putrajaya,0,4900,0
2007/1/1,Johor,391499,1916600,20.42674528
2007/1/1,Kedah,342613,950000,36.06452632
2007/1/1,Kelantan,629687,1504000,41.8674867
2007/1/1,Melaka,5079,8000,63.4875
2007/1/1,Negeri Sembilan,154185,665647,23.16317808
2007/1/1,Pahang,1484099,3596500,41.26509106
2007/1/1,Perak,884205,21000000,4.2105
2007/1/1,Perlis,10718,81931,13.08173951
2007/1/1,Pulau Pinang,6098,29500,20.67118644
2007/1/1,Sabah,3604867,7363100,48.95855007
2007/1/1,Sarawak,4692900,12400000,37.84596774
2007/1/1,Selangor,241568,800000,30.196
2007/1/1,Terengganu,545818,1303500,41.873
2007/1/1,W.P. Kuala Lumpur,61,24300,0.251028807
2007/1/1,W.P. Labuan,0,9100,0
2007/1/1,W.P. Putrajaya,0,4900,0
2008/1/1,Johor,441251,1916600,23.02259209
2008/1/1,Kedah,342613,950000,36.06452632
2008/1/1,Kelantan,623849,1504000,41.47932181
2008/1/1,Melaka,5080,8000,63.5
2008/1/1,Negeri Sembilan,155909,665647,23.42217422
2008/1/1,Pahang,1562496,3596500,43.44490477
2008/1/1,Perak,873936,21000000,4.1616
2008/1/1,Perlis,10586,81931,12.92062833
2008/1/1,Pulau Pinang,6098,29500,20.67118644
2008/1/1,Sabah,3604867,7363100,48.95855007
2008/1/1,Sarawak,4681543,12400000,37.75437903
2008/1/1,Selangor,241568,800000,30.196
2008/1/1,Terengganu,544118,1303500,41.743
2008/1/1,W.P. Kuala Lumpur,61,24300,0.251028807
2008/1/1,W.P. Labuan,0,9100,0
2008/1/1,W.P. Putrajaya,0,4900,0
2009/1/1,Johor,438751,1916600,22.89215277
2009/1/1,Kedah,342613,950000,36.06452632
2009/1/1,Kelantan,623849,1504000,41.47932181
2009/1/1,Melaka,5080,8000,63.5
2009/1/1,Negeri Sembilan,157058,665647,23.59478823
2009/1/1,Pahang,1562902,3596500,43.45619352
2009/1/1,Perak,991436,21000000,4.72112381
2009/1/1,Perlis,10808,81931,13.19158804
2009/1/1,Pulau Pinang,6098,29500,20.67118644
2009/1/1,Sabah,3604894,7363100,48.95891676
2009/1/1,Sarawak,4583609,12400000,36.96458871
2009/1/1,Selangor,247793,800000,30.974125
2009/1/1,Terengganu,544118,1303500,41.743
2009/1/1,W.P. Kuala Lumpur,63,24300,0.259259259
2009/1/1,W.P. Labuan,0,9100,0
2009/1/1,W.P. Putrajaya,0,4900,0
2010/1/1,Johor,432678,1916600,22.57528958
2010/1/1,Kedah,342613,950000,36.06452632
2010/1/1,Kelantan,623849,1504000,41.47932181
2010/1/1,Melaka,5079,8000,63.4875
2010/1/1,Negeri Sembilan,153837,665647,23.11089812
2010/1/1,Pahang,1562902,3596500,43.45619352
2010/1/1,Perak,987511,21000000,4.702433333
2010/1/1,Perlis,10808,81931,13.19158804
2010/1/1,Pulau Pinang,6098,29500,20.67118644
2010/1/1,Sabah,3606647,7363100,48.98272467
2010/1/1,Sarawak,NA,12400000,NA
2010/1/1,Selangor,250129,800000,31.266125
2010/1/1,Terengganu,544118,1303500,41.743
2010/1/1,W.P. Kuala Lumpur,63,24300,0.259259259
2010/1/1,W.P. Labuan,0,9100,0
2010/1/1,W.P. Putrajaya,0,4900,0
2011/1/1,Johor,432208,1916600,22.55076698
2011/1/1,Kedah,342613,950000,36.06452632
2011/1/1,Kelantan,623849,1504000,41.47932181
2011/1/1,Melaka,4818,8000,60.225
2011/1/1,Negeri Sembilan,153459,665647,23.05411126
2011/1/1,Pahang,1562902,3596500,43.45619352
2011/1/1,Perak,986262,21000000,4.696485714
2011/1/1,Perlis,10799,81931,13.18060319
2011/1/1,Pulau Pinang,6098,29500,20.67118644
2011/1/1,Sabah,3606647,7363100,48.98272467
2011/1/1,Sarawak,NA,12400000,NA
2011/1/1,Selangor,250129,800000,31.266125
2011/1/1,Terengganu,539234,1303500,41.368
2011/1/1,W.P. Kuala Lumpur,63,24300,0.259259259
2011/1/1,W.P. Labuan,0,9100,0
2011/1/1,W.P. Putrajaya,0,4900,0
2012/1/1,Johor,432208,1916600,22.55076698
2012/1/1,Kedah,325463,950000,34.25926316
2012/1/1,Kelantan,623849,1504000,41.47932181
2012/1/1,Melaka,5151,8000,64.3875
2012/1/1,Negeri Sembilan,154578,665647,23.22221838
2012/1/1,Pahang,1562902,3596500,43.45619352
2012/1/1,Perak,983136,21000000,4.6816
2012/1/1,Perlis,10799,81931,13.18060319
2012/1/1,Pulau Pinang,6098,29500,20.67118644
2012/1/1,Sabah,3609249,7363100,49.01806304
2012/1/1,Sarawak,4337164,12400000,34.97712903
2012/1/1,Selangor,250129,800000,31.266125
2012/1/1,Terengganu,539232,1303500,41.368
2012/1/1,W.P. Kuala Lumpur,68,24300,0.279835391
2012/1/1,W.P. Labuan,0,9100,0
2012/1/1,W.P. Putrajaya,0,4900,0
2013/1/1,Johor,432209,1916600,22.55081916
2013/1/1,Kedah,341976,950000,35.99747368
2013/1/1,Kelantan,623849,1504000,41.47932181
2013/1/1,Melaka,5151,8000,64.3875
2013/1/1,Negeri Sembilan,154676,665647,23.2369409
2013/1/1,Pahang,1562902,3596500,43.45619352
2013/1/1,Perak,1003616,21000000,4.77912381
2013/1/1,Perlis,10799,81931,13.18060319
2013/1/1,Pulau Pinang,6060,29500,20.54237288
2013/1/1,Sabah,3614730,7363100,49.0925018
2013/1/1,Sarawak,4368066,12400000,35.22633871
2013/1/1,Selangor,250129,800000,31.266125
2013/1/1,Terengganu,544855,1303500,41.8
2013/1/1,W.P. Kuala Lumpur,68,24300,0.279835391
2013/1/1,W.P. Labuan,0,9100,0
2013/1/1,W.P. Putrajaya,0,4900,0
2014/1/1,Johor,432184,1916600,22.54951477
2014/1/1,Kedah,341976,950000,35.99747368
2014/1/1,Kelantan,623849,1504000,41.47932181
2014/1/1,Melaka,5093,8000,63.6625
2014/1/1,Negeri Sembilan,155825,665647,23.40955491
2014/1/1,Pahang,1562900,3596500,43.45613791
2014/1/1,Perak,999967,21000000,4.761747619
2014/1/1,Perlis,10799,81931,13.18060319
2014/1/1,Pulau Pinang,6060,29500,20.54237288
2014/1/1,Sabah,3615066,7363100,49.09706509
2014/1/1,Sarawak,4352828,12400000,35.10345161
2014/1/1,Selangor,250129,800000,31.266125
2014/1/1,Terengganu,544937,1303500,41.8
2014/1/1,W.P. Kuala Lumpur,68,24300,0.279835391
2014/1/1,W.P. Labuan,0,9100,0
2014/1/1,W.P. Putrajaya,0,4900,0
2015/1/1,Johor,414637,1916600,21.63398727
2015/1/1,Kedah,341976,950000,35.99747368
2015/1/1,Kelantan,623849,1504000,41.47932181
2015/1/1,Melaka,5104,8000,63.8
2015/1/1,Negeri Sembilan,155708,665647,23.39197803
2015/1/1,Pahang,1563993,3596500,43.48652857
2015/1/1,Perak,999488,21000000,4.759466667
2015/1/1,Perlis,10799,81931,13.18060319
2015/1/1,Pulau Pinang,6060,29500,20.54237288
2015/1/1,Sabah,3551247,7363100,48.23032418
2015/1/1,Sarawak,4320302,12400000,34.84114516
2015/1/1,Selangor,250129,800000,31.266125
2015/1/1,Terengganu,544937,1303500,41.8
2015/1/1,W.P. Kuala Lumpur,68,24300,0.279835391
2015/1/1,W.P. Labuan,0,9100,0
2015/1/1,W.P. Putrajaya,0,4900,0
2016/1/1,Johor,414628,1916600,21.63351769
2016/1/1,Kedah,341976,950000,35.99747368
2016/1/1,Kelantan,635437,1504000,42.24980053
2016/1/1,Melaka,5137,8000,64.2125
2016/1/1,Negeri Sembilan,155650,665647,23.3832647
2016/1/1,Pahang,1559913,3596500,43.37308494
2016/1/1,Perak,999473,21000000,4.759395238
2016/1/1,Perlis,10799,81931,13.18060319
2016/1/1,Pulau Pinang,6060,29500,20.54237288
2016/1/1,Sabah,3540274,7363100,48.08129728
2016/1/1,Sarawak,4317939,12400000,34.82208871
2016/1/1,Selangor,250129,800000,31.266125
2016/1/1,Terengganu,544883,1303500,41.8
2016/1/1,W.P. Kuala Lumpur,68,24300,0.279835391
2016/1/1,W.P. Labuan,0,9100,0
2016/1/1,W.P. Putrajaya,0,4900,0
2017/1/1,Johor,332749,1916600,17.36142127
2017/1/1,Kedah,341976,950000,35.99747368
2017/1/1,Kelantan,613275,1504000,40.7762633
2017/1/1,Melaka,5138,8000,64.225
2017/1/1,Negeri Sembilan,155650,665647,23.3832647
2017/1/1,Pahang,1558898,3596500,43.34486306
2017/1/1,Perak,995216,21000000,4.73912381
2017/1/1,Perlis,10615,81931,12.95602397
2017/1/1,Pulau Pinang,5101,29500,17.29152542
2017/1/1,Sabah,3540749,7363100,48.08774837
2017/1/1,Sarawak,4274825,12400000,34.47439516
2017/1/1,Selangor,250129,800000,31.266125
2017/1/1,Terengganu,542411,1303500,41.612
2017/1/1,W.P. Kuala Lumpur,68,24300,0.279835391
2017/1/1,W.P. Labuan,0,9100,0
2017/1/1,W.P. Putrajaya,0,4900,0
2018/1/1,Johor,332749,1916600,17.36142127
2018/1/1,Kedah,341976,950000,35.99747368
2018/1/1,Kelantan,613275,1504000,40.7762633
2018/1/1,Melaka,5199,8000,64.9875
2018/1/1,Negeri Sembilan,155549,665647,23.3680915
2018/1/1,Pahang,1559385,3596500,43.358404
2018/1/1,Perak,988914,21000000,4.709114286
2018/1/1,Perlis,10615,81931,12.95602397
2018/1/1,Pulau Pinang,5101,29500,17.29152542
2018/1/1,Sabah,3540749,7363100,48.08774837
2018/1/1,Sarawak,4209053,12400000,33.94397581
2018/1/1,Selangor,250210,800000,31.27625
2018/1/1,Terengganu,540309,1303500,41.45
2018/1/1,W.P. Kuala Lumpur,68,24300,0.279835391
2018/1/1,W.P. Labuan,0,9100,0
2018/1/1,W.P. Putrajaya,0,4900,0
2019/1/1,Johor,334292,1916600,17.44192841
2019/1/1,Kedah,341976,950000,35.99747368
2019/1/1,Kelantan,629775,1504000,41.87333777
2019/1/1,Melaka,5199,8000,64.9875
2019/1/1,Negeri Sembilan,155492,665647,23.3595284
2019/1/1,Pahang,1550687,3596500,43.11655776
2019/1/1,Perak,988591,21000000,4.70757619
2019/1/1,Perlis,10628,81931,12.97189098
2019/1/1,Pulau Pinang,5101,29500,17.29152542
2019/1/1,Sabah,3541266,7363100,48.09476987
2019/1/1,Sarawak,3964880,12400000,31.97483871
2019/1/1,Selangor,250208,800000,31.276
2019/1/1,Terengganu,540309,1303500,41.45
2019/1/1,W.P. Kuala Lumpur,68,24300,0.279835391
2019/1/1,W.P. Labuan,0,9100,0
2019/1/1,W.P. Putrajaya,0,4900,0
2020/1/1,Johor,334292,1916600,17.44192841
2020/1/1,Kedah,341976,950000,35.99747368
2020/1/1,Kelantan,629881,1504000,41.88038564
2020/1/1,Melaka,5199,8000,64.9875
2020/1/1,Negeri Sembilan,155143,665647,23.30709821
2020/1/1,Pahang,1545610,3596500,42.97539274
2020/1/1,Perak,987632,21000000,4.703009524
2020/1/1,Perlis,10629,81931,12.97311152
2020/1/1,Pulau Pinang,5387,29500,18.26101695
2020/1/1,Sabah,3574468,7363100,48.54569407
2020/1/1,Sarawak,3964880,12400000,31.97483871
2020/1/1,Selangor,250208,800000,31.276
2020/1/1,Terengganu,540309,1303500,41.45
2020/1/1,W.P. Kuala Lumpur,68,24300,0.279835391
2020/1/1,W.P. Labuan,0,9100,0
2020/1/1,W.P. Putrajaya,0,4900,0
2021/1/1,Johor,334502,1916600,17.45288532
2021/1/1,Kedah,341976,950000,35.99747368
2021/1/1,Kelantan,629881,1504000,41.88038564
2021/1/1,Melaka,5199,8000,64.9875
2021/1/1,Negeri Sembilan,155143,665647,23.30709821
2021/1/1,Pahang,1588298,3596500,44.16232448
2021/1/1,Perak,986848,21000000,4.69927619
2021/1/1,Perlis,10629,81931,12.97311152
2021/1/1,Pulau Pinang,5387,29500,18.26101695
2021/1/1,Sabah,3574468,7363100,48.54569407
2021/1/1,Sarawak,3964880,12400000,31.97483871
2021/1/1,Selangor,250208,800000,31.276
2021/1/1,Terengganu,540309,1303500,41.45
2021/1/1,W.P. Kuala Lumpur,68,24300,0.279835391
2021/1/1,W.P. Labuan,0,9100,0
2021/1/1,W.P. Putrajaya,0,4900,0
